id,ttp_id,signal_type,match_value,match_mode,bucket,severity,requires_context,active,version,source,source_reference,created_at,updated_at
e4b1d0d6-dc31-4ab0-8424-d839f259a495,TTP-OTP-INTERCEPT,permission,android.permission.READ_SMS,exact,sms,0.35,t,t,1,CERT-In / OWASP MASVS,CERT-In mobile banking trojan advisories,2026-07-24 13:27:52.039568+00,2026-07-24 13:27:52.039568+00
e6bfbfa0-e833-439a-87b3-cbb14e89dc12,TTP-OTP-INTERCEPT,permission,android.permission.RECEIVE_SMS,exact,sms,0.35,t,t,1,CERT-In / OWASP MASVS,CERT-In mobile banking trojan advisories,2026-07-24 13:27:52.039568+00,2026-07-24 13:27:52.039568+00
1ee4728d-d202-4948-92d4-5267abfc6f2d,TTP-OTP-INTERCEPT,api_signature,Landroid/telephony/SmsManager;->,substring,sms,0.5,t,t,1,CERT-In / OWASP MASVS,CERT-In mobile banking trojan advisories,2026-07-24 13:27:52.039568+00,2026-07-24 13:27:52.039568+00
47d881e2-691b-485f-a279-926851c2d67c,TTP-OVERLAY-PHISH,permission,android.permission.SYSTEM_ALERT_WINDOW,exact,overlay,0.4,t,t,1,CERT-In / OWASP MASVS,CERT-In mobile banking trojan advisories,2026-07-24 13:27:52.039568+00,2026-07-24 13:27:52.039568+00
b92c9abe-3405-4df0-9f6e-ba0ed7041011,TTP-ACCESSIBILITY-ABUSE,permission,android.permission.BIND_ACCESSIBILITY_SERVICE,exact,accessibility,0.4,t,t,1,CERT-In / OWASP MASVS,CERT-In mobile banking trojan advisories,2026-07-24 13:27:52.039568+00,2026-07-24 13:27:52.039568+00
4bcc8e17-6b3b-4f86-bfec-4899b6f0c0df,TTP-ACCESSIBILITY-ABUSE,api_signature,Landroid/accessibilityservice/AccessibilityService;->performGlobalAction,substring,accessibility,0.65,t,t,1,CERT-In / OWASP MASVS,CERT-In mobile banking trojan advisories,2026-07-24 13:27:52.039568+00,2026-07-24 13:27:52.039568+00
c2ffaaa3-72d2-4a8c-829b-09ba50234370,TTP-DYNAMIC-DEX,api_signature,Ldalvik/system/DexClassLoader;-><init>,substring,dynamic_code,0.65,t,t,1,OWASP MASVS,OWASP MASVS resilience guidance,2026-07-24 13:27:52.039568+00,2026-07-24 13:27:52.039568+00
de4e82b6-f60f-43b5-8e45-1c664bd4bfdc,TTP-DEVICE-ADMIN,api_signature,Landroid/app/admin/DevicePolicyManager;->lockNow,substring,device_admin,0.7,t,t,1,CERT-In / OWASP MASVS,CERT-In mobile banking trojan advisories,2026-07-24 13:27:52.039568+00,2026-07-24 13:27:52.039568+00
04aaa1e7-4038-4b01-83c9-d3b0ecb02ab6,TTP-SILENT-INSTALL,permission,android.permission.REQUEST_INSTALL_PACKAGES,exact,install,0.45,t,t,1,CERT-In / OWASP MASVS,CERT-In mobile banking trojan advisories,2026-07-24 13:27:52.039568+00,2026-07-24 13:27:52.039568+00
